"cod_101","cod_103","cod_106","cod_204","cod_208","partido","id"
184.819277108434,0,0,0,160.642570281125,"Partido de la U",87
68.1528382359407,0,0,305.148837004793,382.840918084685,"Conservador",88
212.962305671896,0,0,210.339674877547,147.937815006744,"Partido de la U",89
1231.70371620197,0,0,166.786181296663,1410.97566119711,"Partido de la U",90
1422.04656958181,0,0,128.338914414765,690.561482750565,"Otro partido",91
132.870713705548,0,0,0,1.32429282763005,"Otro partido",92
568.418659289856,0,0,265.262041001933,291.030353556406,"Cambio radical",93
1427.30942931436,0,0,259.833036814014,136.855070480361,"Conservador",94
721.687979539642,0,0,0,468.542199488491,"Otro partido",95
1377.39879677781,0,0,579.840929947996,697.896400530233,"Partido de la U",96
3326.72338642079,0,0,0,618.761030252229,"Otro partido",97
820.109074506909,0,0,155.820724156313,254.233813097142,"Conservador",98
